function	S1_S16	S1_m	S2_S16	S2_m	S3_S16	S3_m	S4_S16	S4_m	S5_S16	S5_m	S6_S16	S6_m	S7_S16	S7_m	S8_S16	S8_m	S9_S16	S9_m	S10_S16	S10_m	S11_S16	S11_m	S12_S16	S12_m	S13_S16	S13_m	S14_S16	S14_m	S15_S16	S15_m	S16_S16	S16_m
K00001	24799.28	218	25435.81	288	7575.99	72	6727.08	69	12925.11	196	9426.71	96	16600.05	178	11705.09	102	18654.16	158	2824.18	216	6918.16	95	28412.48	254	5025.99	58	13667.01	123	9943.13	107	5991.46	68
K00002	0	1	9	0	1	0	0	0	295	0	0	0	9	0	0	0	0	0	0	1	6	1	0	0	0	1	2	1	0	0	0	1
K00003	11933.22	94	10321.21	258	5500.74	94	8178.2	96	13412.61	239	34710.33	64	13117.88	184	16802.87	167	17301.36	166	5860.85	217	8046.55	171	21689.3	183	6345.54	88	10586.51	154	10525.63	111	9911.44	172
K00004	4817.77	38	2518.41	68	2238.75	54	4973.65	43	4911.35	170	2355.5	27	5042.5	114	2943.78	31	7918.33	39	1910.35	53	3796.72	15	5052.99	120	3030.79	41	3439	63	2142	46	4196.45	22
K00005	5790	58	8204.96	8	2148.83	16	2392.85	24	2410.7	4	1635.97	25	5495.07	7	752.5	12	4035.58	13	522.25	42	1789.29	10	6998.39	32	3307.12	26	115.34	17	383.75	37	951.59	15
K00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0
K00007	2139.5	3	354	9	292.88	12	170	15	2236.5	1	913.38	8	1765.95	8	204.33	3	1867.25	4	31.5	58	367	14	2839.5	14	493.5	11	963.5	19	293.67	3	510.5	7
K00008	28.17	1	101.5	66	2748.87	3	110	6	1429.62	12	1118	2	9329.5	20	3306.83	34	19845.58	72	3508.85	4	65.33	28	902.27	2	264.67	10	2189	10	2324.99	1	348.06	25
K00009	2104	21	1749.83	13	2352.67	5	505.9	4	776.57	3	616.38	10	4675.4	6	1433.83	7	8312.43	19	416.85	18	285.25	4	2610.67	11	1451	7	937.67	5	319.04	16	172.83	5
K00010	5954.96	65	17998.34	124	4764.51	20	7440.21	59	4495.4	28	4517.51	34	17880.31	35	7629.86	109	31980.08	103	2990.42	77	5220.85	26	6223.44	69	6722.75	25	3498.17	37	4315.8	45	4504.42	62
K00011	0	0	0	0	17	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K00012	20535.05	187	15265.54	372	9577.42	163	8890.7	109	19363.14	310	22472.42	120	24050.32	257	26527.2	181	14830.17	170	6896.1	314	8866.64	190	28200.8	419	14720.54	109	19927.52	189	17143.35	182	12458.38	159
K00013	18170.48	149	13405.45	242	7001.16	148	8855.94	108	16785.25	258	26556.84	105	16007.7	214	25387.45	154	13143.35	120	5723.26	291	8534.22	191	25658.3	336	11682.8	106	14825.01	169	12734.55	145	11923.94	170
K00014	26965.3	221	23034.56	414	11884.83	191	16983.96	164	23233.88	333	35904.09	144	30674.93	278	37182.11	285	38992.41	252	9514.52	454	14316.34	231	49307.47	393	18509.42	163	23178.53	235	21270.81	198	15895.88	246
K00015	3788	29	10930.5	3	792.89	9	1790.67	10	1089.5	1	58	24	382.83	3	1803.5	1	1123.84	28	997.17	15	1807.67	55	4233.2	79	617.5	9	4.17	19	13.67	34	1330.97	2
K00016	49	1	210.91	5	799.82	2	668	14	715.52	1	208.38	1	1407.44	1	11157.17	1	12097.78	91	2794.57	1	567.5	16	33.34	1	340.5	15	54.34	10	114.92	1	309.63	2
K00018	3846.48	26	7519.2	126	3609.99	23	4582.77	38	4204.65	55	5349.96	16	7956.29	46	845.45	49	1159.9	19	1541.86	50	3364.8	32	10478.7	100	5336.63	22	6054.67	25	5456.04	36	2898.47	34
K00019	11029.44	66	10625.36	188	4515.43	52	6327.74	53	6563.78	98	17244.96	49	9866.5	98	7575.53	91	9706.81	73	3417.16	140	5217.18	101	21050.52	169	5439.97	47	8246.51	73	8060.13	88	5929.08	89
K00020	30201.92	249	25470.49	535	13038.86	192	19117.42	160	21804.61	454	42794.92	144	27226.08	373	46239.93	281	28116.46	191	7311.82	377	16375.86	261	48317.69	476	12380.33	140	24830.19	265	20587.06	226	17453.57	230
K00021	2	0	0.75	3	98.17	0	3	0	13	0	0	0	13.83	1	558	0	50.92	1	87.16	1	2	2	0	1	0	1	0	0	0	0	0	1
K00023	5873.41	28	7093.09	76	2328.5	28	3343.76	35	4731.74	38	14100.5	28	4647.16	46	4623.16	43	2084.33	27	1713.99	81	3364.5	98	7785.43	87	1565.67	22	2874	48	3088.25	43	4488.33	59
K00024	16836.5	133	12348.63	194	6216.02	144	6607.32	106	17175.34	250	23757.76	97	11410.33	208	28589.25	106	12607.53	134	5645.14	254	7243.37	185	18151.6	327	9724.42	104	13035.34	160	9801.26	130	11030.94	147
K00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
K00027	6086.38	77	4259.83	99	6871.02	27	1699.27	24	4088.66	62	4221.26	24	12500.15	52	3796.25	43	11195.36	69	2705.69	67	1148.87	43	7799.29	85	3590.5	32	5253.67	38	2940.96	48	976.45	37
K00029	22433.39	172	19425.79	296	6475.94	167	10894.54	123	20305.91	292	39073.84	127	13343	252	24364.2	192	6071.99	93	4390.44	365	10759.47	195	31789.95	415	13049.84	112	16921.85	193	15106.1	175	14859.36	219
K00030	19.88	1	66.12	7	1662.11	1	44.62	1	49.12	1	586.88	1	2907.13	2	1079.75	1	742.27	5	485.53	1	28.25	21	47.5	7	14.88	1	377.5	2	363.25	1	38	3
K00031	28409.7	251	19841.74	442	9455.93	223	14952.47	168	26667.87	470	49544.3	153	21858.52	378	28263.73	275	14677.26	144	7787.29	449	13524.02	231	45893	452	18616.34	168	23724.85	274	21294.22	225	18559.41	292
K00032	1403.72	16	1083.08	55	689.15	7	3779.28	22	1239.02	4	2823.08	8	2581.75	7	127.45	35	410.57	8	809.12	29	2426.35	2	7487.08	10	2184.75	17	2147.17	20	3217.5	15	1892.35	20
K00033	11842.98	98	10440.23	91	4858.62	39	7374.59	83	7607.24	56	8016.34	58	13571.18	63	48041.2	83	29109.77	202	6144.43	99	6469.1	109	16988.14	97	8929.88	73	5028.18	77	4971.26	69	4819.67	69
K00034	7124.6	53	2952.53	69	1224.85	63	3796.47	41	3979.41	48	5756.25	52	3992.91	51	16283.62	62	734	38	2393.18	157	3120.02	30	4432.87	162	6903.5	35	5853.34	49	5803.63	54	4674.6	58
K00035	1628	17	5203	2	598.2	6	1149.67	8	827	7	2123	6	363	5	1198.42	17	659.5	21	416	11	1068	14	1756.6	13	480	8	22.67	9	42.67	5	631.07	7
K00036	17158.7	123	13366.48	182	6954.24	62	11569.87	105	11441.45	89	23026.42	88	18531.57	93	43783.65	166	31335.02	187	7349.06	212	9970.62	181	35163.55	168	11410.13	96	8293.18	126	9748.8	116	8479.52	139
K00038	62	1	309	4	795	2	636	14	357	1	4	1	2020.66	1	3112	0	6925.17	51	637.67	1	497.09	11	32	2	259.5	14	3	9	15	1	286	1
K00039	3708	20	5173	4	189.88	7	1016.67	16	2259	1	913.38	13	531.12	6	666.67	2	67	6	41.5	61	1125	12	4572	25	543	10	74.17	17	168.67	7	818.67	7
K00040	7980.5	61	8880.83	13	1566.38	26	2139.67	27	4017.67	5	1882.38	33	7256.03	14	2913.08	13	10829.25	48	776	97	1905.5	16	9859.17	48	3670	25	986.34	30	303.01	39	1393.67	21
K00041	10693.12	92	6962.21	25	489.25	58	3536.88	59	8051.29	169	6415.38	64	3190.82	136	3078.33	60	2341.16	29	1293.04	82	3819.25	23	9889.15	97	9917.75	44	2397.67	67	1674.84	67	5303.15	57
K00042	12482.56	88	13619.74	92	4235.36	56	7792.28	73	8133.76	29	15370.34	43	10393.03	52	7975.86	68	22497.4	103	2849.2	167	6271.68	89	22554	77	5805.72	53	3690.17	77	4415	46	5609.06	76
K00043	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1.33	0	4.75	1	15.75	0	0	3	0	0	0	0	0	0	0	0	0	0
K00045	3392.72	35	6382.83	58	1494.5	14	5117.28	27	2469.02	11	3454.08	22	3095.25	12	3360.45	50	1666.65	52	1630.59	46	3691.35	22	9833.68	73	2679.75	23	2147.17	27	3224.5	34	2351.75	26
K00046	17031.27	142	26047.86	70	1956.82	67	8251.9	76	9514.1	78	25647.5	82	4548.71	88	9266.86	89	9751.07	82	2045.59	160	7791.26	77	16943.14	188	11536.67	47	3974.67	84	3299.92	94	6511.33	129
K00048	2104	21	1735.83	1	38.38	5	483.5	4	1767.31	2	613.88	10	55.16	3	4414	6	5649.33	32	966.25	18	275	1	2606.67	11	1438.5	6	44.17	4	89.96	16	156.5	5
K00050	7598.39	52	7128.91	115	1762.81	37	6447.95	50	5239.52	37	15003.46	36	3255.92	44	3097.28	72	1243.91	35	1528.37	108	5617.68	76	15870.45	94	3761.92	39	4817.34	69	5552.84	57	5164.65	68
K00051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K00052	20074.27	165	13968.91	232	6938.91	112	9865.32	112	16663.63	263	27486.84	97	15431.25	219	26078.86	167	13093.68	124	5024.3	211	9656.3	188	27424.47	230	11403.59	101	11574.51	172	10111.55	134	11017.77	161
K00053	18945.1	151	14040.33	226	6920.49	104	9011.32	106	15642.63	259	24380.84	92	16003.92	216	25435.7	154	13101.68	123	5020.55	204	8709.97	182	25935.8	227	10409.92	97	11105.51	166	9777.55	122	10308.44	144
K00054	8165	45	2157.33	45	558.27	62	885	31	5657.01	54	7202	51	608.83	68	20458	31	6148.27	40	2240.26	184	1501.08	19	7833.67	152	3146.5	35	6432.67	50	4911.96	44	4158.73	65
K00055	231.5	34	327.38	17	1335.88	7	139.25	2	1117.89	1	789.38	1	3983.12	4	1720	3	12483.5	21	555.25	10	111.79	10	224.12	2	525.62	6	464.5	22	520.29	2	68.12	3
K00057	18458.1	149	13522.99	248	7708.91	151	8987.32	111	17234.47	259	26827.84	105	16464.91	215	30822.2	154	18918.1	153	6744.55	292	8661.97	195	26589.14	346	12091.92	108	15246.85	170	13123.89	149	12077.44	172
K00058	41916.21	308	26036.35	539	12093.19	383	18860.39	248	38197.13	683	67550.48	265	32331.35	562	66228.88	389	26103.09	245	10601.78	727	19047.23	339	51514.48	820	25233.93	242	34260.85	382	30704.39	323	28661.9	453
K00059	89788.8	696	85866.96	1401	36346.41	599	58870.6	600	71396.88	1091	122645.96	462	96240.81	951	121358.5	853	90818.24	697	28347.66	1393	51358.32	868	123807.64	1428	64924.68	487	74055.57	778	68734.45	600	54111.63	833
K00060	3210.05	23	2686.12	25	2425.67	7	717.12	9	1224.12	13	1690.76	11	6975.69	23	3595.41	10	8851	36	827.96	21	549.75	30	4299.17	18	1845.05	11	1842	13	953.92	17	783.83	15
K00062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00064	8703.12	80	10960.38	84	1294.03	125	3921.38	52	9116.86	284	8785	66	4589.61	207	21830.25	87	1846.67	77	931.28	136	3687.75	23	8112.36	169	2868.38	60	5976	106	6357	42	9459.4	76
K00065	6519	65	9347.5	22	1939.93	47	2984	30	5521.5	130	3780.76	38	2894.61	94	4850.16	48	1767.25	58	1750.75	55	2895.42	38	8400.5	51	3939.5	37	2308	51	945.34	52	3445.83	37
K00066	1399.6	16	1078.2	50	966.15	8	3089.4	16	1105.4	8	3116.08	8	2871.75	7	199.78	48	448.07	15	891	38	1986.6	4	14189.2	10	2116	23	2121.67	19	3147	15	1179.6	25
